item,logprob
aBskaRsjon,-11.14062
aBskaRDjon,-12.07233
aBskaRnjon,-12.65446
aBskansjod,-16.8292
aDskRaRsjon,-13.38749
aDskRaRnjon,-14.90133
aDskRasnjon,-15.61755
aDskRamnjon,-15.54772
aDskRansjon,-12.69328
aDskRannjon,-17.82648
aDskRagnjon,-15.71241
aDskRaBsjon,-16.0943
anstRiRto,-10.46345
aDstRiRto,-12.8547
anskRikto,-10.41666
anstRolto,-10.29652
anstRelto,-11.19241
anstRilto,-11.11266
ansGRekto,-11.35716
ansGRalto,-11.59531
andGRekto,-15.95514
andGRalto,-16.19329
aDskRiiDa,-17.06545
aDskReiDa,-12.41698
ansGRiiDa,-16.8446
ansGReiDa,-11.3745
anskRiiDa,-14.93612
anskReiDa,-10.28765
ensGRiiDo,-16.45168
ensGRaiDa,-10.68574
ensGReiDo,-10.98159
enstRiiDa,-13.97446
anskRuko,-10.26727
aDskRuko,-12.3966
anskRusa,-9.782153
anskRulo,-10.31414
anstRuka,-8.990998
anstRula,-9.242346
aDskRulo,-12.44348
aDskRusa,-11.91149
aDstRuka,-11.38225
aDstRula,-11.63359
agnwilto,-15.66661
apkwilto,-15.1861
apnwilto,-15.43572
aptwilto,-11.11613
aDxwilto,-14.07056
askwilto,-11.83849
asnwilto,-15.16276
admokDiDad,-16.48996
admolDiDad,-12.97662
admogDiDad,-19.81741
aDBikDiDad,-13.70301
aDBilDiDad,-11.95072
aDBigDiDad,-18.49597
aDBakDiDad,-15.98222
aDBalDiDad,-12.90982
aDBagDiDad,-15.8898
aDBokDiDad,-16.29684
asxiRDo,-13.85008
afxiRDo,-15.9085
amujooR,-13.22558
amurooR,-14.22675
amujoa,-10.71881
amuroa,-13.78794
aBjosa,-7.546547
aBjasa,-7.319984
aDjosa,-7.960428
aDwisa,-8.113776
aDjasa,-7.658785
asjosa,-6.377534
aswisa,-8.403053
asjasa,-6.604927
apjosa,-7.732189
apjasa,-7.074689
asjoso,-6.145922
asjoGo,-6.757081
asjoso,-6.145922
asjoxo,-7.642057
asjola,-6.154129
asjoko,-7.58324
asjomo,-7.925701
asjeso,-7.143404
asjeGo,-7.157999
asjeso,-7.143404
amulispe,-10.368
amulisme,-9.423347
afulispe,-12.58855
afulisme,-11.6439
akulispe,-9.033085
akulisme,-8.088434
atulispe,-10.35251
aBusjo,-5.811798
aDusjo,-6.075177
asusjo,-6.398083
apusjo,-5.731789
aGusjo,-6.403052
akuxjo,-8.752191
akusjo,-5.769419
akumjo,-7.410029
akusjo,-5.769419
amuDina,-8.729539
amuRina,-9.368798
amunina,-8.984787
amumina,-9.478193
amusina,-8.624529
afuDina,-11.57042
afuRina,-10.55847
afunina,-9.863968
afumina,-8.749068
afusina,-9.491695
afaRnaDo,-8.088511
afasnaDo,-9.351952
afaknaDo,-10.60918
afamnaDo,-9.6546
afannaDo,-10.37975
afagnaDo,-10.0669
afasnaDo,-9.351952
afesnaDo,-8.997584
afeknaDo,-9.485377
afemnaDo,-9.579847
axiskanjento,-12.41027
axiskaDjento,-12.24108
